sensorId,timestamp,co2,humidity,light,motion,temperature
sensor09,2025-11-18T15:05:06Z,1446.00,37.00,152.00,7.00,22.40
sensor09,2025-11-18T15:10:06Z,1399.00,36.00,147.00,3.00,22.50
sensor09,2025-11-18T15:15:06Z,1418.00,36.00,148.00,2.00,22.40
sensor09,2025-11-18T15:20:06Z,1422.00,36.00,131.00,4.00,22.40
sensor09,2025-11-18T15:25:06Z,1516.00,37.00,136.00,2.00,22.50
sensor09,2025-11-18T15:30:06Z,1570.00,37.00,129.00,3.00,22.50
sensor09,2025-11-18T15:35:06Z,1613.00,37.00,130.00,3.00,22.50
sensor09,2025-11-18T15:40:06Z,1692.00,38.00,128.00,6.00,22.60
sensor09,2025-11-18T15:45:06Z,1658.00,38.00,129.00,2.00,22.60
sensor09,2025-11-18T15:50:06Z,1703.00,38.00,115.00,4.00,22.70
sensor09,2025-11-18T15:55:06Z,1704.00,38.00,114.00,5.00,22.60
sensor09,2025-11-18T16:00:06Z,1670.00,38.00,113.00,6.00,22.50
sensor09,2025-11-18T16:05:06Z,1712.00,38.00,137.00,6.00,22.50
sensor09,2025-11-18T16:10:06Z,1737.00,38.00,138.00,7.00,22.50
sensor09,2025-11-18T16:15:06Z,1769.00,39.00,135.00,3.00,22.50
sensor09,2025-11-18T16:20:06Z,1728.00,38.00,134.00,3.00,22.50
sensor09,2025-11-18T16:25:06Z,1695.00,38.00,137.00,0.00,22.40
sensor09,2025-11-18T16:30:06Z,1673.00,38.00,131.00,3.00,22.40
sensor09,2025-11-18T16:35:06Z,1635.00,38.00,138.00,3.00,22.40
sensor09,2025-11-18T16:40:06Z,1614.00,38.00,136.00,3.00,22.40
sensor09,2025-11-18T16:45:06Z,1565.00,37.00,135.00,3.00,22.40
sensor09,2025-11-18T16:50:06Z,1569.00,37.00,131.00,1.00,22.30
sensor09,2025-11-18T16:55:06Z,1495.00,37.00,133.00,3.00,22.30
sensor09,2025-11-18T17:00:06Z,1379.00,36.00,129.00,3.00,22.20
sensor09,2025-11-18T17:05:06Z,1399.00,36.00,132.00,6.00,22.20
sensor09,2025-11-18T17:10:06Z,1336.00,36.00,137.00,4.00,22.20
sensor09,2025-11-18T17:15:06Z,1289.00,36.00,132.00,5.00,22.20
sensor09,2025-11-18T17:20:06Z,1247.00,35.00,119.00,6.00,22.00
sensor09,2025-11-18T17:25:06Z,1144.00,34.00,130.00,6.00,22.00
sensor09,2025-11-18T17:30:06Z,1096.00,34.00,1.00,4.00,21.90
sensor09,2025-11-18T17:35:06Z,1064.00,34.00,1.00,0.00,21.80
sensor09,2025-11-18T17:40:06Z,1033.00,34.00,1.00,0.00,21.80
sensor09,2025-11-18T17:45:06Z,1044.00,34.00,1.00,0.00,21.70
sensor09,2025-11-18T17:50:06Z,1070.00,34.00,1.00,0.00,21.60
sensor09,2025-11-18T17:55:06Z,1090.00,35.00,1.00,0.00,21.60
sensor09,2025-11-18T18:00:06Z,1099.00,35.00,1.00,0.00,21.50
sensor09,2025-11-18T18:05:05Z,1095.00,35.00,1.00,0.00,21.50
sensor09,2025-11-18T18:10:05Z,1078.00,35.00,1.00,0.00,21.30
sensor09,2025-11-18T18:15:05Z,1094.00,36.00,1.00,0.00,21.30
sensor09,2025-11-18T18:20:05Z,1095.00,36.00,1.00,0.00,21.20
sensor09,2025-11-18T18:25:05Z,1076.00,36.00,1.00,0.00,21.20
sensor09,2025-11-18T18:30:05Z,1085.00,36.00,1.00,0.00,21.20
sensor09,2025-11-18T18:35:05Z,1097.00,36.00,1.00,0.00,21.10
sensor09,2025-11-18T18:40:05Z,1095.00,36.00,1.00,0.00,21.00
sensor09,2025-11-18T18:45:05Z,1053.00,36.00,1.00,0.00,21.00
sensor09,2025-11-18T18:50:05Z,1050.00,36.00,1.00,0.00,21.00
sensor09,2025-11-18T18:55:05Z,1040.00,37.00,1.00,0.00,21.00
sensor09,2025-11-18T19:00:05Z,1068.00,37.00,1.00,0.00,20.90
sensor09,2025-11-18T19:05:05Z,1037.00,37.00,1.00,0.00,20.90
sensor09,2025-11-18T19:10:05Z,1016.00,37.00,1.00,0.00,20.80
sensor09,2025-11-18T19:15:05Z,997.00,37.00,1.00,0.00,20.80
sensor09,2025-11-18T19:20:05Z,1005.00,37.00,1.00,0.00,20.80
sensor09,2025-11-18T19:25:05Z,1007.00,37.00,1.00,0.00,20.70
sensor09,2025-11-18T19:30:05Z,1018.00,37.00,1.00,0.00,20.70
sensor09,2025-11-18T19:35:05Z,1018.00,37.00,1.00,0.00,20.70
sensor09,2025-11-18T19:40:05Z,1017.00,37.00,1.00,0.00,20.70
sensor09,2025-11-18T19:45:05Z,1009.00,37.00,1.00,0.00,20.60
sensor09,2025-11-18T19:50:05Z,1009.00,37.00,1.00,0.00,20.60
sensor09,2025-11-18T19:55:05Z,1017.00,38.00,1.00,0.00,20.60
sensor09,2025-11-18T20:00:05Z,997.00,38.00,1.00,0.00,20.50
sensor09,2025-11-18T20:05:05Z,983.00,38.00,1.00,0.00,20.50
sensor09,2025-11-18T20:10:05Z,995.00,38.00,1.00,0.00,20.50
sensor09,2025-11-18T20:15:05Z,1001.00,38.00,1.00,0.00,20.50
sensor09,2025-11-18T20:20:05Z,975.00,38.00,1.00,0.00,20.50
sensor09,2025-11-18T20:25:05Z,988.00,38.00,1.00,0.00,20.50
sensor09,2025-11-18T20:30:05Z,992.00,38.00,1.00,0.00,20.50
sensor09,2025-11-18T20:35:05Z,977.00,38.00,1.00,0.00,20.40
sensor09,2025-11-18T20:40:05Z,957.00,38.00,1.00,0.00,20.40
sensor09,2025-11-18T20:45:05Z,952.00,38.00,1.00,0.00,20.40
sensor09,2025-11-18T20:50:05Z,945.00,38.00,1.00,0.00,20.30
sensor09,2025-11-18T20:55:05Z,960.00,38.00,1.00,0.00,20.30
sensor09,2025-11-18T21:00:05Z,920.00,38.00,1.00,0.00,20.40
sensor09,2025-11-18T21:05:05Z,936.00,38.00,1.00,0.00,20.30
sensor09,2025-11-18T21:10:05Z,941.00,38.00,1.00,0.00,20.30
sensor09,2025-11-18T21:15:05Z,938.00,38.00,1.00,0.00,20.30
sensor09,2025-11-18T21:20:05Z,943.00,38.00,1.00,0.00,20.20
sensor09,2025-11-18T21:25:05Z,923.00,38.00,1.00,0.00,20.30
sensor09,2025-11-18T21:30:05Z,930.00,38.00,1.00,0.00,20.20
sensor09,2025-11-18T21:35:05Z,917.00,38.00,1.00,0.00,20.20
sensor09,2025-11-18T21:40:05Z,916.00,38.00,1.00,0.00,20.20
sensor09,2025-11-18T21:45:05Z,889.00,38.00,1.00,0.00,20.20
sensor09,2025-11-18T21:50:05Z,903.00,38.00,1.00,0.00,20.10
sensor09,2025-11-18T21:55:05Z,901.00,38.00,1.00,0.00,20.10
sensor09,2025-11-18T22:00:05Z,845.00,38.00,1.00,0.00,20.10
sensor09,2025-11-18T22:05:05Z,823.00,38.00,1.00,0.00,20.10
sensor09,2025-11-18T22:10:05Z,818.00,38.00,1.00,0.00,20.00
sensor09,2025-11-18T22:15:05Z,828.00,38.00,1.00,0.00,20.00
sensor09,2025-11-18T22:20:05Z,812.00,38.00,1.00,0.00,20.10
sensor09,2025-11-18T22:25:05Z,789.00,38.00,1.00,0.00,20.00
sensor09,2025-11-18T22:30:05Z,820.00,38.00,1.00,0.00,20.00
sensor09,2025-11-18T22:35:05Z,807.00,38.00,1.00,0.00,20.00
sensor09,2025-11-18T22:40:05Z,786.00,38.00,1.00,0.00,20.00
sensor09,2025-11-18T22:45:05Z,763.00,38.00,1.00,0.00,19.90
sensor09,2025-11-18T22:50:05Z,802.00,38.00,1.00,0.00,19.80
sensor09,2025-11-18T22:55:05Z,812.00,38.00,1.00,0.00,19.80
sensor09,2025-11-18T23:00:05Z,798.00,38.00,1.00,0.00,19.90
sensor09,2025-11-18T23:05:05Z,803.00,38.00,1.00,0.00,19.80
sensor09,2025-11-18T23:10:05Z,784.00,38.00,1.00,0.00,19.80
sensor09,2025-11-18T23:15:05Z,748.00,38.00,1.00,0.00,19.80
sensor09,2025-11-18T23:20:05Z,777.00,38.00,1.00,0.00,19.80
sensor09,2025-11-18T23:25:05Z,776.00,38.00,1.00,0.00,19.80
sensor09,2025-11-18T23:30:05Z,752.00,38.00,1.00,0.00,19.70
sensor09,2025-11-18T23:35:05Z,776.00,38.00,1.00,0.00,19.80
sensor09,2025-11-18T23:40:04Z,741.00,38.00,1.00,0.00,19.70
sensor09,2025-11-18T23:45:04Z,766.00,38.00,1.00,0.00,19.70
sensor09,2025-11-18T23:50:04Z,776.00,38.00,1.00,0.00,19.70
sensor09,2025-11-18T23:55:04Z,740.00,38.00,1.00,0.00,19.70
sensor24,2025-11-18T00:02:10Z,776.00,41.00,0.00,0.00,20.20
sensor24,2025-11-18T00:07:10Z,754.00,41.00,0.00,0.00,20.20
sensor24,2025-11-18T00:12:10Z,747.00,41.00,0.00,0.00,20.20
sensor24,2025-11-18T00:17:10Z,745.00,41.00,0.00,0.00,20.10
sensor24,2025-11-18T00:22:10Z,736.00,41.00,0.00,0.00,20.20
sensor24,2025-11-18T00:32:10Z,726.00,41.00,0.00,0.00,20.10
sensor24,2025-11-18T00:37:10Z,727.00,41.00,0.00,0.00,20.20
sensor24,2025-11-18T00:42:10Z,719.00,41.00,0.00,0.00,20.10
sensor24,2025-11-18T00:47:10Z,707.00,41.00,0.00,0.00,20.10
sensor24,2025-11-18T00:52:10Z,705.00,41.00,0.00,0.00,20.20
sensor24,2025-11-18T00:57:10Z,706.00,40.00,0.00,0.00,20.10
sensor24,2025-11-18T01:02:09Z,698.00,40.00,0.00,0.00,20.10
sensor24,2025-11-18T01:07:09Z,690.00,40.00,0.00,0.00,20.10
sensor24,2025-11-18T01:12:09Z,676.00,40.00,0.00,0.00,20.10
sensor24,2025-11-18T01:17:09Z,681.00,40.00,0.00,0.00,20.10
sensor24,2025-11-18T01:22:09Z,675.00,40.00,0.00,0.00,20.10
sensor24,2025-11-18T01:27:09Z,673.00,40.00,0.00,0.00,20.10
sensor24,2025-11-18T01:32:09Z,669.00,40.00,0.00,0.00,20.10
sensor24,2025-11-18T01:37:09Z,651.00,40.00,0.00,0.00,20.10
sensor24,2025-11-18T01:42:09Z,641.00,40.00,0.00,0.00,20.10
sensor24,2025-11-18T01:47:09Z,655.00,40.00,0.00,0.00,20.10
sensor24,2025-11-18T01:52:09Z,653.00,40.00,0.00,0.00,20.20
sensor24,2025-11-18T01:57:09Z,629.00,40.00,0.00,0.00,20.10
sensor24,2025-11-18T02:02:09Z,636.00,40.00,0.00,0.00,20.10
sensor24,2025-11-18T02:07:09Z,621.00,39.00,0.00,0.00,20.10
sensor24,2025-11-18T02:12:09Z,640.00,39.00,0.00,0.00,20.10
sensor24,2025-11-18T02:17:09Z,609.00,39.00,0.00,0.00,20.10
sensor24,2025-11-18T02:22:09Z,615.00,39.00,0.00,0.00,20.10
sensor24,2025-11-18T02:27:09Z,614.00,39.00,0.00,0.00,20.10
sensor24,2025-11-18T02:32:09Z,613.00,39.00,0.00,0.00,20.10
sensor24,2025-11-18T02:37:09Z,619.00,39.00,0.00,0.00,20.10
sensor24,2025-11-18T02:42:09Z,593.00,39.00,0.00,0.00,20.10
sensor24,2025-11-18T02:47:09Z,599.00,39.00,0.00,0.00,20.00
sensor24,2025-11-18T02:52:09Z,603.00,39.00,0.00,0.00,20.10
sensor24,2025-11-18T02:57:09Z,590.00,39.00,0.00,0.00,20.10
sensor24,2025-11-18T03:02:09Z,593.00,39.00,0.00,0.00,20.00
sensor24,2025-11-18T03:07:09Z,586.00,39.00,0.00,0.00,20.10
